objectid,filename,title,creator,description,date,date is approximate?,subject,location,latitude,longitude,digital collection,source,identifier,digital_source,format original,format,type,rights,rights (standardized),language
shitamae013,mg387_03_013.pdf,Letter to Shihei (George) Shitamae from unknown writer,,Letter talking about the birthday of Ayako and the beginning of the Elementary and High School. ,11/17/1942,no,schools (institutions);celebrations,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_013,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae014,mg387_03_014.pdf,Letter to Shihei (George) Shitamae from Yoshiko Shitamae [1],"Shitamae, Yoshiko","Letter to George Shihei Shitamae from his niece, Yoshiko, discussing Miyoko's departure for Philadelphia. ",2/25/1944,no,war relocation authority (WRA);family life;hearings (event);gifts (object genre);weather;,"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_014,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae015,mg387_03_015.pdf,Letter to Shihei (George) Shitamae from Yoshiko Shitamae [2],"Shitamae, Yoshiko","Letter to Georg Shihei Shitamae from his niece, Yoshiko, expressing joy of hearing of his parol. The letter also mentions the activities of the family, including school and work. ",9/24/1944,no,occupations (livelihoods);family life;weather;parole,"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_015,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae016,mg387_03_016.pdf,Letter to Shihei (George) Shitamae from Ayako Fujii [1],"Fujii, Ayako","Letter to George Shihei Shitamae describing the cold weather, school, and the activities of Ayako Fujii's parents.",11/19/1942,no,weather;schools (institutions);activities (general context);gifts (object genre),"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_016,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae017,mg387_03_017.pdf,Letter to Shihei (George) Shitamae from Miyoko Shitamae [1],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, expressing the joy of hearing of his parol. The letter also describes Miyoko's life in Philadelphia and her experience training to be a nurse. ",9/11/1944,no,parole;occupations (livelihoods),"Philadelphia, Pennsylvania",39.9526,-75.1652,,George Shihei Shitamae papers,mg387_03_017,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae018,mg387_03_018.pdf,Letter to Shihei (George) Shitamae [5],,Letter written in Japanese with a stamp stating it had been examined. It was sent to George Shihei Shitamae while he was detained at the Santa Fe Detention Center in New Mexico.,5/24/1943,no,,,,,,George Shihei Shitamae papers,mg387_03_018,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn
shitamae019,mg387_03_019.pdf,Letter to Shihei (George) Shitamae [6],,Letter written in Japanese with a stamp stating it had been examined. It was sent to George Shihei Shitamae while he was detained at the Santa Fe Detention Center in New Mexico.,6/11/1943,no,,,,,,George Shihei Shitamae papers,mg387_03_019,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn
shitamae020,mg387_03_020.pdf,Letter to Shihei (George) Shitamae [7],,Letter written in Japanese with a stamp stating it had been examined. It was sent to George Shihei Shitamae while he was detained at the Santa Fe Detention Center in New Mexico.,6/24/1943,no,,,,,,George Shihei Shitamae papers,mg387_03_020,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn
shitamae021,mg387_03_021.pdf,Letter to Shihei (George) Shitamae from Fumiko Shitamae [1],"Shitamae, Fumiko ","Letter from George Shihei Shitamae's niece, Fumiko, to him describing the days leading up to the forced evacuation of Japanese from Seattle. Fumiko mentions activities around the curfew and the preparations for the forced removal to the ""retention"" center at the Puyallup Fair Grounds.",4/2/1942,no,weather;curfew;restrictions;business (commercial function);relocation,"Seattle, Washington",47.6062,-122.3321,,George Shihei Shitamae papers,mg387_03_021,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae022,mg387_03_022.pdf,Letter to Shihei (George) Shitamae from Fumiko Shitamae [2],"Shitamae, Fumiko ","Letter to George Shihei Shitamae from his niece, Fumiko, accounting the news that ""aliens"" must move out of the Puget Sound area. The letter goes on to discuss some business matters. ",2/17/1942,no,relocation;hearings (event); business (commercial function),"Seattle, Washington",47.6062,-122.3321,,George Shihei Shitamae papers,mg387_03_022,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae023,mg387_03_023.jpg,Transcription of Letter to Shihei (George) Shitamae from Yukiko Fujii [1],"Fujii, Yukiko","Letter discussing the forced relocation from Seattle to Camp Harmony in Puyallup, Washington, it includes preparations for businesses and selling of assets, as well as life at Puyallup. ",5/24/1942,no,relocation;detention centers;,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_023,,,image/jpg,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae024,mg387_03_024.jpg,Transcription of Letter to Shihei (George) Shitamae from Yukiko Fujii [2],"Fujii, Yukiko","Letter informing George Shihei Shitamae that Yukiko's husband had arrived at Minidoka after being in Bismarck, North Dakota. ",6/9/1942,no,family life;weather,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_024,,,image/jpg,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae025,mg387_03_025.pdf,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [1],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, updating him on the happenings at Camp Harmony. It discusses the conditions at teh relocation center; that they were told everyone at Camp Harmony would be sent to Tule Lake, California; the work that Miyoko was doing with the with the medical staff at the camp hospital; and, other activities of those at the camp.",6/18/1942,no,travel;food; weather;occupations (livelihoods);activities (general context),"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_025,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae026,mg387_03_026.jpg,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [1],"Shitamae, Fumiko ","Letter from George Shihei Shitamae's niece, Fumiko, discussing how the family heard he was playing baseball. Fumiko also talks about the sports played at Camp Harmony and other activities organized by the recreation committee.",6/21/1942,no,activities (general context);entertainment,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_026,,,image/jpg,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae027,mg387_03_027.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [1],"Shitamae, Yoshiko","The letter was written in two parts. The first part of the letter expresses how George Shihei Shitamae's niece, Yoshiko, wished he would be released from his internment camp and be reunited with the family. Yoshiko goes on to talk about the activities and classes she has begun taking. The second part of the letter discusses the weather, graduation ceremonies, news of their business and concern of their stored belongings. She also discusses the events of the Fourth of July.",1942-06-25; 1942-07-10,no,activities (general context);entertainment,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_027,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae028,mg387_03_028.pdf,Transcription of Letter to Shihei (George) Shitamae from Niroku Shitamae [1],"Shitamae, Niroku","Letter to George Shihei Shitamae from his brother, Niroku, discussing the hot weather and asking if it would be all right to write him in Japanese. ",7/5/1942,no,weather;correspondence,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_028,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae029,mg387_03_029.pdf,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [2],"Shitamae, Fumiko ","Letter from George Shihei Shitamae's niece, Fumiko, praises the improvement of his English. It goes on to discuss their neighbor's return, a speech from someone on the difficulties of the Nisei, and some entertainment performed by ""some boys from D.""",7/8/1942,no,weather;entertainment,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_029,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae030,mg387_03_030.pdf,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [3],"Shitamae, Fumiko ","Letter from George Shihei Shitamae's niece, Fumiko, talks about how his last letter was heavily censored and they couldn't make out what he was saying. Fumiko goes on to discuss her work at the office where she filled out repatriation forms for those wishing to return to Japan. She goes on to update him on some financial matters and discusses sumo or judo tournament.",8/4/1942,no,censorship;occupations (livelihoods)t;repatriation;banks;activities (general context);flowers (plant components),"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_030,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae031,mg387_03_031.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [2],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, telling him that they will be transferred to Idaho soon. It also mentions flowers growing in their garden, and a gift containing a nightgown, wooden slippers, stationary, and cookies that they are sending to him.",8/6/1942,no,travel;flowers (plant components); gifts (object genre),"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_031,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae032,mg387_03_032.pdf,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [2],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, telling him that they wil be transfered to Eden, Idaho with better conditions and barracks, disucssing hot weather, talks about the censorship of his previous letters, tells him of the down time listening to niehgbors playing ukulele afterwork, Miyoko talks about their work in the hospital and how much they like it.",8/17/1942,no,travel;censorship;weather;leisure;occupations (livelihoods),"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_032,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae033,mg387_03_033.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [3],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, telling him that they will be transfered to Idaho, talks of building crates to store their things while moving.",8/28/1942,no,weather;gifts (object genre);activities (general context);travel,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_033,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae034,mg387_03_034.pdf,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [6],"Shitamae, Fumiko ","Letter from George Shihei Shitamae's niece, Fumiko, telling him that they are being trasnfered to Idaho and are saddened by leaving Washington because it is so close to home.",9/1/1942,no,travel;sadness,"Puyallup, Washington",47.1854,-122.2929,,George Shihei Shitamae papers,mg387_03_034,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae035,mg387_03_035.pdf,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [7],"Shitamae, Fumiko ","Letter from George Shihei Shitamae's niece, Fumiko, telling him that they are in Idaho and it is much different than Washington, it is very dusty and flat surrounded by sage, rattlesnakes and rabbits, the barracks. Fumiko says that they are contributing to the future of America by bulding something on all the flat land.",9/5/1942,no,travel;Idaho;dust;buildings (structures),"Minidoka, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_035,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae036,mg387_03_036.pdf,Transcription of Letter to Shihei (George) Shitamae from Midori Fujii [1],"Fujii, Midori","Letter telling George Shihei Shitamae that they have just been transfered to Idaho and the train ride there was dificult but the meals were good. States that Idaho is dusty and expressed dissapointment that it will be their permanent home, cautions George of rattlesnakes.",9/15/1942,yes,scenery (landscape);trains (vehicle groupings);food;weather,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_036,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae037,mg387_03_037.pdf,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [3],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, telling him about their transfer and how beautiful the scenery was on the train but how dusty and flat it got when they arrivd in Minidoka, Idaho. It discusses the structures of the new camp and the buildings that make up a little community, including a hospital which Miyoko wants to work at again but the walk is over 2 miles and the dust makes it very challenging.",9/9/1942,no,travel;scenery (landscape); buildings (structures);occupations (livelihoods);communities (social groups),"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_037,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae038,mg387_03_038.jpg,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [4],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, telling him about a terrible dust storm and compared it to Seattle rain only it was dust, Miyoko encolsed a piece of sage brush to see if George had any of that plant in New Mexico.",9/10/1942,no,scenery (landscape);dust;,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_038,,,image/jpeg,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae039,mg387_03_039.pdf,Transcription of Letter to Shihei (George) Shitamae from Yoshiko Shitamae [4],"Shitamae, Yoshiko","Letter from George Shihei Shitamae's niece, Yoshiko, telling him about the details of their transfer and all the scenery they saw along the way, when they arrived at Twin Falls dust was everywhere.The Barracks are big and have more windows and the town is 2 -3 miles long, 8th biggest in Idaho. Yoshiko talks about school starting and having to teach and catch up their younger sibling with arithmetic and spelling in time for school.",9/17/1942,no,scenery (landscape);dust; buildings (structures);trains (vehicle groupings),"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_039,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae041,mg387_03_041.pdf,Transcription of Letter to Shihei (George) Shitamae from Miyoko Shitamae [5],"Shitamae, Miyoko","Letter from George Shihei Shitamae's niece, Miyoko, telling him that the family was getting over diarrhea and sickness but everyone is getting better now. The weather had been changing and they had discovered a bed of water just outside of their camp that the dust hid, some people even caught fish to eat.",10/20/1942,no,leisure;illness;activities (general context);weather,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_041,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae042,mg387_03_042.pdf,Transcription of Letter to Shihei (George) Shitamae from Fumiko Shitamae [8],"Shitamae, Fumiko ","Letter from George Shihei Shitamae's niece, Fumiko, telling him about working in the hospital and people in the camp getting over the stomach flu. Their father has returned from the hospital and is no longer suffereing from the flu and before. Also talks about sending celery juice to him but has to get it from town. States that the family and others in the camp are getting used the camp and settling in, talks about starting to grow produce next year.",10/14/1942,no,weather;illness;powers of attorney;,"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_042,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
