objectid,filename,title,creator,description,date,date_is_approximate,subject,location,digital_collection,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language
coursecatalogs011,ua2011-30_1936.pdf,University of Idaho Bulletin: Catalog Number 1935-36 with Announcements for 1936-37,University of Idaho,"Vol. XXXI, No. 1",April 1936,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs012,ua2011-30_1937.pdf,University of Idaho Bulletin: Catalog Number 1936-37 with Announcements for 1937-38,University of Idaho,"Vol. XXXII, No. 1",April 1937,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs013,ua2011-30_1939.pdf,University of Idaho Bulletin: Catalog Number 1938-39 with Announcements for 1939-40,University of Idaho,"Vol. XXXIV, No. 1",January 1939,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs014,ua2011-30_1940.pdf,University of Idaho Bulletin: Catalog Number 1939-40 with Announcements for 1940-41,University of Idaho,"Vol. XXXV, No. 1",January 1940,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs015,ua2011-30_1941.pdf,University of Idaho Bulletin: Catalog Number 1940-41 with Announcements for 1941-42,University of Idaho,"Vol. XXXVI, No. 3",April 1941,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs016,ua2011-30_1942.pdf,University of Idaho Bulletin: Catalog Number 1942-43 with Announcements for 1943-44,University of Idaho,"Vol. XXXVIII, No. 2",April 1943,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs017,ua2011-30_1945.pdf,University of Idaho Bulletin: Catalog Number 1943-44 with Announcements for 1944-45,University of Idaho,"Vol. XXXIX, No. 2",April 1944,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs018,ua2011-30_1992.pdf,University of Idaho Bulletin: General Catalog 1992,University of Idaho,,1992,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs019,ua2011-30_1993.pdf,University of Idaho Bulletin: General Catalog 1993,University of Idaho,,1993,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs020,ua2011-30_1994.pdf,University of Idaho General Catalog 1994,University of Idaho,,1994,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs021,ua2011-30_1995.pdf,University of Idaho General Catalog 1995,University of Idaho,,1995,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs022,ua2011-30_1996.pdf,University of Idaho General Catalog 1996,University of Idaho,,1996,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs023,ua2011-30_1997.pdf,University of Idaho General Catalog 1997,University of Idaho,,1997,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs024,ua2011-30_1999.pdf,University of Idaho General Catalog 1999,University of Idaho,"Vol. 95, No.2",April 1999,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs025,ua2011-30_2000.pdf,University of Idaho General Catalog 2000,University of Idaho,"Vol. 96, No.2",April 2000,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs026,ua2011-30_2001.pdf,University of Idaho Catalog 2001,University of Idaho,"Vol. 97, No.1",March 2001,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs027,ua2011-30_2002.pdf,University of Idaho Catalog 2002-2003,University of Idaho,"Vol. 98, No. 2",April 2002,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs028,ua2011-30_2003.pdf,University of Idaho Catalog 2003-2004,University of Idaho,"Vol. 99, No. 3",May 2003,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs029,ua2011-30_2004.pdf,University of Idaho Catalog 2004-2005,University of Idaho,"Vol. 100, No. 3","April 15, 2004",no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs030,ua2011-30_2005.pdf,University of Idaho Catalog 2005-2006,University of Idaho,"Vol. 101, No. 3","April 15, 2005",no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs031,ua2011-30_2006.pdf,University of Idaho Catalog 2006-2007,University of Idaho,"Vol. 102, No. 2","April 15, 2006",no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs032,ua2011-30_2007.pdf,University of Idaho Catalog 2007-2008,University of Idaho,"Vol. 103, No. 4","April 15, 2007",no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs033,ua2011-30_2008.pdf,University of Idaho Catalog 2008-2009,University of Idaho,"Vol. 104, No. 3","April 30, 2008",no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs034,ua2011-30_2009.pdf,University of Idaho Catalog 2009-2010,University of Idaho,,2009,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs035,ua2011-30_2010.pdf,University of Idaho Catalog 2010-2011,University of Idaho,,2010,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs036,ua2011-30_2014.pdf,University of Idaho Catalog 2014-2015,University of Idaho,,April 2014,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs037,ua2011-30_1959-60.pdf,University of Idaho Catalog 1959-1961,University of Idaho,,1959,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs038,ua2011-30_1967-68.pdf,University of Idaho Catalog 1967-1969,University of Idaho,"Vol. LXIII, No. 1",July 1967,no,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs039,ua2011-30_1969-70.pdf,University of Idaho Catalog 1969-1971,University of Idaho,"Vol. LXV, No. 1",1969,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs040,ua2011-30_1971.pdf,University of Idaho Catalog 1971-1972,University of Idaho,,1971,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs041,ua2011-30_1972.pdf,University of Idaho General Catalog 1972-1973,University of Idaho,,1972,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs042,ua2011-30_1973.pdf,University of Idaho General Catalog 1973-1974,University of Idaho,,1973,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs043,ua2011-30_1974.pdf,University of Idaho General Catalog 1974-1975,University of Idaho,,1974,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs044,ua2011-30_1975.pdf,University of Idaho General Catalog 1975-1976,University of Idaho,,1975,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs045,ua2011-30_1976.pdf,University of Idaho General Catalog 1976-1977,University of Idaho,,1976,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs046,ua2011-30_1977.pdf,University of Idaho General Catalog 1977-1978,University of Idaho,,1977,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs047,ua2011-30_1978.pdf,University of Idaho General Catalog 1978-1979,University of Idaho,,1978,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs048,ua2011-30_1979.pdf,University of Idaho General Catalog 1979-1981,University of Idaho,,1979,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs049,ua2011-30_1981-82.pdf,University of Idaho General Catalog 1981-1983,University of Idaho,,1981,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs050,ua2011-30_1983-84.pdf,University of Idaho General Catalog 1983-1985,University of Idaho,,1983,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs051,ua2011-30_1985.pdf,University of Idaho General Catalog 1985-1986,University of Idaho,,1985,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs052,ua2011-30_1986.pdf,University of Idaho General Catalog 1986-1987,University of Idaho,,1986,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs053,ua2011-30_1987.pdf,University of Idaho General Catalog 1987,University of Idaho,,1987,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs054,ua2011-30_1988.pdf,University of Idaho General Catalog 1988,University of Idaho,,1988,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs055,ua2011-30_1989.pdf,University of Idaho General Catalog 1989,University of Idaho,,1989,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs056,ua2011-30_1990.pdf,University of Idaho General Catalog 1990,University of Idaho,,1990,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs057,ua2011-30_1991.pdf,University of Idaho General Catalog 1991,University of Idaho,,1991,yes,catalogs,,,,,,Document,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
